author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
LikeHouse,real_estate_agent,https://spb.cian.ru/rent/flat/318894410/,Санкт-Петербург,rent,flat,12,25,1,34.0,30000,0,Приморский,Парашютная ,65с1А,Комендантский проспект
Аватерра,real_estate_agent,https://spb.cian.ru/rent/flat/318874471/,Санкт-Петербург,rent,flat,3,22,1,44.0,28000,0,Красногвардейский, Корнея Чуковского,5к3,Девяткино
МАКРОМИР НЕДВИЖИМОСТЬ,real_estate_agent,https://spb.cian.ru/rent/flat/318955072/,Санкт-Петербург,rent,flat,6,25,1,33.0,23000,0,Красногвардейский, Пейзажная,6,Девяткино
Оксана Мажейка,realtor,https://spb.cian.ru/rent/flat/318827195/,Санкт-Петербург,rent,flat,4,23,1,31.7,25000,0,Приморский,Комендантский проспект,71,Комендантский проспект
ID 11388294,realtor,https://spb.cian.ru/rent/flat/318378900/,Санкт-Петербург,rent,flat,5,5,1,29.0,30000,0,Кировский, Гладкова,29,Нарвская
МАКРОМИР НЕДВИЖИМОСТЬ,real_estate_agent,https://spb.cian.ru/rent/flat/318695241/,Санкт-Петербург,rent,flat,4,9,1,30.3,25000,0,Красносельский, Пионерстроя,18,Проспект Ветеранов
1-е Центральное Городское Агентство,real_estate_agent,https://spb.cian.ru/rent/flat/318525469/,Санкт-Петербург,rent,flat,1,5,1,33.0,30000,0,Кировский, Гладкова,29,Нарвская
Домклик Аренда,real_estate_agent,https://spb.cian.ru/rent/flat/317333600/,Санкт-Петербург,rent,flat,4,5,1,30.7,24000,0,Невский,проспект Солидарности,7к4Х,Проспект Большевиков
Торговый дом недвижимости,real_estate_agent,https://spb.cian.ru/rent/flat/317977317/,Санкт-Петербург,rent,flat,4,10,1,31.0,26000,0,Красносельский,проспект Кузнецова,25К1,Ленинский проспект
Ольга      Шадрунова,realtor,https://spb.cian.ru/rent/flat/318181235/,Санкт-Петербург,rent,flat,10,15,1,41.0,30000,0,Московский,проспект Космонавтов,22,Московская
ID 17972890,homeowner,https://spb.cian.ru/rent/flat/318872616/,Санкт-Петербург,rent,flat,2,3,1,30.0,28000,0,Курортный,Решетниково тер.,2,
МИДОМ,real_estate_agent,https://spb.cian.ru/rent/flat/318909354/,Санкт-Петербург,rent,flat,10,25,1,29.16,30000,0,Выборгский,проезд Толубеевский,36к1,Парнас
Агентство недвижимости Яны Румак,real_estate_agent,https://spb.cian.ru/rent/flat/272032374/,Санкт-Петербург,rent,flat,3,5,1,30.0,27000,0,Невский,проспект Обуховской обороны,245к1,Пролетарская
